!H                  0   145.000     2.050     0.000     0.000     0.000 ! Chemkin transport database
H                  0   541.672     1.530     0.000     0.666     0 ! theoret trans

!H2                 1    38.000     2.920     0.000     0.790   280.000 ! Chemkin transport database
H2                 1   304.690     2.190     0.000     0.775   280 ! theoret trans

!O                  0    80.000     2.750     0.000     0.000     0.000 ! Chemkin transport database
O                  0   235.686     2.485     0.000     0.744     0 ! theoret trans

!OX                 0    80.000     2.750     0.000     0.000     0.000 ! =O
OX                 0   235.686     2.485     0.000     0.744     0 ! =O

!OH                 1   809.100     2.641     0.000     0.000     0.000 !ivanov
!OH                 1    80.000     2.750     0.000     0.000     0.000 ! Chemkin transport database		
!OH                 1    63.884     3.212     0.000     0.000     0.000 ! LJcjp Miller trans
OH                 1   514.598     2.582     1.635     1.077     0 ! theoret trans

!OHX                1   809.100     2.641     0.000     0.000     0.000 ! =OH
OHX                1   514.598     2.582     1.635     1.077     0 ! =OH

!H2O                2   809.100     2.641     1.844     0.000     4.000 !ivanov
!H2O                2   572.400     2.605     1.844     0.000     4.000 ! Chemkin transport database		
H2O                2   637.056     2.943     1.851     1.407     4 ! theoret trans

!O2                 1   106.700     3.467     0.000     1.600     3.800 !ivanov
!O2                 1   107.400     3.458     0.000     1.600     3.800 ! Chemkin transport database		
O2                 1   676.424     3.069     0.000     1.487     3.8 ! theoret trans

!O2X                1   106.700     3.467     0.000     1.600     3.800 ! =O2
O2X                1  1836.00      2.769     0.000     1.434     3.800 ! Pineda

!HO2                2   298.300     4.196     0.000     0.000     1.000 !ivanov
!HO2                2   107.400     3.458     0.000     0.000     1.000 ! Chemkin transport database		
HO2                2   963.003     3.129     2.146     1.959     3.8 ! theoret trans
!HO2                2   289.300     4.196     0.000     0.000     3.800 ! SveLJ Miller trans

!H2O2               2   298.300     4.196     0.000     0.000     3.800 ! ivanov
!H2O2               2   107.400     3.458     0.000     0.000     3.800 ! Chemkin transport database		
H2O2               2  1361.148     3.179     1.702     2.239     3.8 ! theoret trans
!H2O2               2   289.300     4.196     0.000     0.000     3.800 ! SveLJ Miller trans

!O3                 2   208.400     3.875     0.000     0.000     2.000 !ivanov
!O3                 2   180.000     4.100     0.000     0.000     2.000 ! Chemkin transport database
O3                 2  1758.196     3.302     0.550     2.820     1 ! theoret trans

!C                  0    71.400     3.298     0.000     0.000     0.000 ! Chemkin transport database
C                  0  1609.601     1.849     0.000     1.748     0 ! theoret trans
!C                  0    30.600     3.385     0.000     0.000     0.000 ! svehla Miller trans

!CH                 1    80.000     2.750     0.000     0.000     0.000 ! Chemkin transport database
CH                 1   569.314     2.676     1.489     2.271     0 ! theoret trans
!CH                 1    68.600     3.370     0.000     0.000     0.000 ! SveLJ Miller trans

CHX                 1   569.314     2.676     1.489     2.271     0 ! =CH

!CH2                1   144.000     3.800     0.000     0.000     0.000 ! Chemkin transport database
CH2                2   289.283     3.458     0.593     2.137     0 ! theoret trans
!CH2                2    94.860     3.530     0.000     0.000     0.000 ! LJcjp Miller trans

!SCH2               1   144.000     3.800     0.000     0.000     0.000 ! Chemkin transport database
CH2(SING)          1   144.000     3.800     0.000     0.000     0.000
SCH2               2   663.955     3.225     1.668     2.412     0 ! theoret trans
CH2(S)             2    94.860     3.530     0.000     0.000     0.000 ! LJcjp Miller trans

!CH3                1   144.000     3.800     0.000     0.000     0.000 ! Chemkin transport database
