!TRANSPORT DATA
OVCCVCCJVO                2  390.084  5.455    0.000    8.010    1.000    !ESTIMATED
CVOCVCCOOH                2  477.796  5.386    0.000    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:C2H3COCH2Q
OVCCVCCOJ                 2  394.846  7.972    0.000    8.350    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: C4H61KET43O
C6H7-2                    2  380.600  5.377    0.000    10.570   1.000    !IC6D134-1AR
!<001_DILUENTS_001_UNDEFINED_UNDEFINED>
AR                        0  127.697  3.462    0.000    1.609    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
N2                        1  97.839   3.610    0.000    1.756    4.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
HE                        0  11.442   2.715    0.000    0.204    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
!</001_DILUENTS_001_UNDEFINED_UNDEFINED>
!<002_H2_O2_001_H2_PYROSPEC>
H2                        1  304.690  2.190    0.000    0.775    280.000  !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
H                         0  541.672  1.530    0.000    0.666    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
!</002_H2_O2_001_H2_PYROSPEC>
!<002_H2_O2_002_O2_PYROSPEC>
O2                        1  676.424  3.069    0.000    1.487    3.800    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
O                         0  235.686  2.485    0.000    0.744    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
!</002_H2_O2_002_O2_PYROSPEC>
!<002_H2_O2_003_H2O_PYROSPEC>
H2O                       2  637.056  2.943    1.851    1.407    4.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
OH                        1  514.598  2.582    1.635    1.077    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
OHV                       1  80.000   2.750    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</002_H2_O2_003_H2O_PYROSPEC>
!<002_H2_O2_004_H2O2_PYROSPEC>
H2O2                      2  1361.148 3.179    1.702    2.239    3.800    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
HO2                       2  963.003  3.129    2.146    1.959    3.800    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT: theoret trans
!</002_H2_O2_004_H2O2_PYROSPEC>
!<003_C1_001_CO_HTOXID>
HOCO                      2  498.000  3.590    0.000    0.000    2.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</003_C1_001_CO_HTOXID>
!<003_C1_001_CO_PYROSPEC>
CO                        1  98.100   3.650    0.000    1.950    1.800    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CO2                       1  244.000  3.763    0.000    2.650    2.100    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</003_C1_001_CO_PYROSPEC>
!<003_C1_002_CH4_LTOXID>
CH3O2H                    2  481.800  3.626    0.000    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH3O2                     2  481.800  3.626    0.000    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH2O2H                    2  238.400  3.496    0.000    0.000    1.500    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</003_C1_002_CH4_LTOXID>
!<003_C1_002_CH4_PYROSPEC>
CH4                       2  141.400  3.746    0.000    2.600    13.000   !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH3                       1  144.000  3.800    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH2                       1  144.000  3.800    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH2(S)                    1  144.000  3.800    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
C                         0  71.400   3.298    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CH                        1  80.000   2.750    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
CHV                       1  80.000   2.750    0.000    0.000    0.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
!</003_C1_002_CH4_PYROSPEC>
!<003_C1_003_CH3OH_PYROSPEC>
CH3OH                     2  481.800  3.626    0.000    0.000    1.000    !\AUTHOR: WARNING !\REF: WARNING !\COMMENT:
