TRANSPORT
!VERSION: AramcoMech 1.3[dat]
!AUTHORS: W. K. Metcalfe, S. Burke, H. J. Curran[dat]
!WEBSITE: http://c3.nuigalway.ie/[dat]
H 0 145.0 2.05 0.0 0.0 0.0
H2 1 38.0 2.92 0.0 0.79 280.0
O 0 80.0 2.75 0.0 0.0 0.0
O2 1 107.4 3.458 0.0 1.6 3.8
OH 1 80.0 2.75 0.0 0.0 0.0
OH* 1 80.0 2.75 0.0 0.0 0.0
H2O 2 572.4 2.605 1.844 0.0 4.0
N2 1 97.53 3.621 0.0 1.76 4.0
HO2 2 107.4 3.458 0.0 0.0 1.0
H2O2 2 107.4 3.458 0.0 0.0 3.8
AR 0 136.5 3.33 0.0 0.0 0.0
CO 1 98.1 3.65 0.0 1.95 1.8
CO2 1 244.0 3.763 0.0 2.65 2.1
HCO 2 498.0 3.59 0.0 0.0 0.0
HE 0 10.2 2.576 0.0 0.0 0.0
NO 1 97.53 3.621 0.0 1.76 4.0
NO2 2 200.0 3.5 0.0 0.0 1.0
! CJP[dat]
NO3 2 400.0 4.2 0.2 0.0 1.0
N2O 1 232.4 3.828 0.0 0.0 1.0
HNO 2 116.7 3.492 0.0 0.0 1.0
HON 2 116.7 3.492 0.0 0.0 1.0
! CJP[dat]
HONO 2 350.0 3.95 1.639 0.0 1.0
HNO2 2 350.0 3.95 1.639 0.0 1.0
H2NO 2 116.7 3.492 0.0 0.0 1.0
HNOH 2 116.7 3.492 0.0 0.0 1.0
! = NO3[dat]
HONO2 2 400.0 4.2 0.2 0.0 1.0
NH3 2 481.0 2.92 1.47 0.0 10.0
NH2 2 80.0 2.65 0.0 2.26 4.0
NH 1 80.0 2.65 0.0 0.0 4.0
N 0 71.4 3.298 0.0 0.0 0.0
N2H4 2 205.0 4.23 0.0 4.26 1.5
N2H3 2 200.0 3.9 0.0 0.0 1.0
N2H2 2 71.4 3.798 0.0 0.0 1.0
H2NN 2 71.4 3.798 0.0 0.0 1.0
NNH 2 71.4 3.798 0.0 0.0 1.0
! = NHOH[dat]
NH2OH 2 116.7 3.492 0.0 0.0 1.0
HOCO 2 498.0 3.59 0.0 0.0 2.0
! ------ sub-mechansism DMM:  --------------------------------------------------[dat]
CH3OCH2OCH3 2 370.815 5.5 0.0 0.0 0.0
CH3OCH2OCH2 2 367.798 5.51 0.0 0.0 0.0
CH3OCHOCH3 2 367.798 5.51 0.0 0.0 0.0
COCOCO2J 2 455.364 6.42 0.0 0.0 0.0
COCO2JOC 2 457.757 6.45 0.0 0.0 0.0
COCOCO2H 2 457.984 6.4 0.0 0.0 0.0
COCO2HOC 2 460.657 6.39 0.0 0.0 0.0
CJOCOCO2H 2 455.384 6.42 0.0 0.0 0.0
