!---------------------------------------------------------------------------
!  Mech25_47_v1_NH3_CH4_260324
!---------------------------------------------------------------------------
THERMO ALL
   300.000  1000.000  5000.000
HE                      HE  1               G   200.000  6000.000  1000.000    1
 2.50000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00    2
-7.45375000e+02 9.28723974e-01 2.50000000e+00 0.00000000e+00 0.00000000e+00    3
 0.00000000e+00 0.00000000e+00-7.45375000e+02 9.28723974e-01                   4
H2                      H   2               G   200.000  6000.000  1000.000    1
 2.93286575e+00 8.26608026e-04-1.46402364e-07 1.54100414e-11-6.88804800e-16    2
-8.13065581e+02-1.02432865e+00 2.34433112e+00 7.98052075e-03-1.94781510e-05    3
 2.01572094e-08-7.37611761e-12-9.17935173e+02 6.83010238e-01                   4
H                       H   1               G   200.000  6000.000  1000.000    1
 2.50000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00    2
 2.54736600e+04-4.46682850e-01 2.50000000e+00 0.00000000e+00 0.00000000e+00    3
 0.00000000e+00 0.00000000e+00 2.54736600e+04-4.46682850e-01                   4
O                       O   1               G   200.000  6000.000  1000.000    1
 2.54363697e+00-2.73162486e-05-4.19029520e-09 4.95481845e-12-4.79553694e-16    2
 2.92260120e+04 4.92229457e+00 3.16826710e+00-3.27931884e-03 6.64306396e-06    3
-6.12806624e-09 2.11265971e-12 2.91222592e+04 2.05193346e+00                   4
OH                      H   1O   1          G   200.000  6000.000  1000.000    1
 2.83853033e+00 1.10741289e-03-2.94000209e-07 4.20698729e-11-2.42289890e-15    2
 3.69780808e+03 5.84494652e+00 3.99198424e+00-2.40106655e-03 4.61664033e-06    3
-3.87916306e-09 1.36319502e-12 3.36889836e+03-1.03998477e-01                   4
H2O                     H   2O   1          G   200.000  6000.000  1000.000    1
 2.67703890e+00 2.97318160e-03-7.73768890e-07 9.44335140e-11-4.26899910e-15    2
-2.98858940e+04 6.88255000e+00 4.19863520e+00-2.03640170e-03 6.52034160e-06    3
-5.48792690e-09 1.77196800e-12-3.02937260e+04-8.49009010e-01                   4
O2                      O   2               G   200.000  6000.000  1000.000    1
 3.66096065e+00 6.56365811e-04-1.41149627e-07 2.05797935e-11-1.29913436e-15    2
-1.21597718e+03 3.41536279e+00 3.78245636e+00-2.99673416e-03 9.84730201e-06    3
-9.68129509e-09 3.24372837e-12-1.06394356e+03 3.65767573e+00                   4
OHV                     H   1O   1          G   300.000  5000.000  1710.000    1
