AR                 0   136.0       3.33      0.00      0.00      0.0   !
HE                 0   10.2        2.57      0.00      0.00      0.0   !
N2                 1   97.5        3.62      0.00      1.76      4.0   !
H                  0   145.0       2.05      0.00      0.00      0.0   !
O                  0   80.0        2.75      0.00      0.00      0.0   !
OH                 1   80.0        2.75      0.00      0.00      0.0   !
H2                 1   38.0        2.92      0.00      0.79      280.0 !
O2                 1   107.0       3.46      0.00      1.60      3.8   !
HO2                2   107.0       3.46      0.00      0.00      1.0   !
H2O2               2   107.0       3.46      0.00      0.00      3.8   !
H2O                2   572.0       2.6       1.84      0.00      4.0   !
OH*                1   80.0        2.75      0.00      0.00      0.0   ! = OH
CO                 1   98.1        3.65      0.00      1.95      1.8   !
CO2                1   244.0       3.76      0.00      2.65      2.1   !
CH2O               2   498.0       3.59      0.0       0.00      2.0   !
HCO                2   498.0       3.59      0.00      0.00      0.0   !
!-------------------------Nitrogenated species transport properties----!
N                  0   71.40       3.298     0.00      0.00      0.00  !
NH                 1   80.00       2.650     0.00     0.000      4.00  ! Lamoureux et al. 2016
HNO                2   116.70      3.492     0.00     0.000      1.00  ! Lamoureux et al. 2016
HON                2   116.70      3.492     0.00     0.000      1.00  ! Lamoureux et al. 2016
HONO               2   232.40      3.828     0.00     0.000      1.00  ! Lamoureux et al. 2016
NH2                2   80.00       2.650     0.00     2.260      4.00  ! Lamoureux et al. 2016
H2NO               2   116.70      3.492     0.00     0.000      1.00  ! Lamoureux et al. 2016
HNOH               2   116.70      3.492     0.00     0.000      1.00  ! Lamoureux et al. 2016
NH3                2   481.00      2.920     1.47     0.000      10.0  ! Lamoureux et al. 2016
NNH                2   71.40       3.798     0.00     0.000      1.00  ! Lamoureux et al. 2016
HNNO               2   232.40      3.828     0.00     0.000      1.00  ! Lamoureux et al. 2016
N2H2               2   71.40       3.798     0.00     0.000      1.00  ! Lamoureux et al. 2016
cN2H2              2   71.40       3.798     0.00     0.000      1.00  ! Lamoureux et al. 2016
N2H3               2   200.00      3.900     0.00     0.000      1.00  ! Coppens et al. 2007
N2H4               2   205.00      4.230     0.00     4.260      1.50  ! Coppens et al. 2007
H2NN               2   71.40       3.798     0.00     0.000      1.00  ! = N2H2
N2O                1   232.40      3.828     0.00     0.000      1.00  ! Lamoureux et al. 2016
NO                 1   97.53       3.621     0.00     1.760      4.00  ! Lamoureux et al. 2016
NO2                2   200.00      3.500     0.00     0.000      1.00  ! Lamoureux et al. 2016
NH2OH              2   116.70      3.492     0.00     0.000      1.00  ! Coppens et al. 2007
HNO2               2   232.40      3.828     0.00     0.000      1.00  ! = HONO
HONO2              2   232.40      3.828     0.00     0.000      1.00  ! = HONO2
NO3                2   378.40      4.175     0.00     0.000      1.00  ! Coppens et al. 2007
N2O4               2   202.60      5.164     0.00     0.000      1.00  ! Coppens et al. 2007
N2O3               2   202.60      5.164     0.00     0.000      1.00  ! Coppens et al. 2007
