!Transport Data
AR                 0   136.500     3.330     0.000     0.000     0.000
HE                 0    10.200     2.576     0.000     0.000     0.000     
H                  0   145.000     2.050     0.000     0.000     0.000          
H2                 1    38.000     2.920     0.000     0.790   280.000          
H2O                2   572.400     2.605     1.844     0.000     4.000          
H2O2               2   107.400     3.458     0.000     0.000     3.800          
HO2                2   107.400     3.458     0.000     0.000     1.000     
N2                 1    97.530     3.621     0.000     1.760     4.000          
O                  0    80.000     2.750     0.000     0.000     0.000          
O2                 1   107.400     3.458     0.000     1.600     3.800          
OH                 1    80.000     2.750     0.000     0.000     0.000                    
C                  0    71.400     3.298     0.000     0.000     0.000
C(S)               0    71.400     3.298     0.000     0.000     0.000      
CH                 1    80.000     2.750     0.000     0.000     0.000          
CH*                1    80.000     2.750     0.000     0.000     0.000
CH2                1   144.000     3.800     0.000     0.000     0.000          
CH2*               1   144.000     3.800     0.000     0.000     0.000          
CH3                1   144.000     3.800     0.000     0.000     0.000    
CH4                2   141.400     3.746     0.000     2.600    13.000          
CO                 1    98.100     3.650     0.000     1.950     1.800          
CO2                1   244.000     3.763     0.000     2.650     2.100          
HCO                2   498.000     3.590     0.000     0.000     0.000          
CH2O               2   498.000     3.590     0.000     0.000     2.000          
CH2OH              2   417.000     3.690     1.700     0.000     2.000          
CH3O               2   417.000     3.690     1.700     0.000     2.000  
CH3O2              2   417.000     3.690     1.700     0.000     2.000
CH3O2H             2   417.000     3.690     1.700     0.000     2.000            
CH3OH              2   481.800     3.626     0.000     0.000     1.000   
NE                 0   136.500     3.330     0.000     0.000     0.000   
Kr                 0   136.500     3.330     0.000     0.000     0.000  
C2                 1    97.530     3.621     0.000     1.760     4.000          
C2O                1   232.400     3.828     0.000     0.000     1.000    
C2H                1   209.000     4.100     0.000     0.000     2.500    
C2H2               1   209.000     4.100     0.000     0.000     2.500    
H2CC               2   209.000     4.100     0.000     0.000     2.500
C2H3               2   209.000     4.100     0.000     0.000     1.000    
C2H4               2   280.800     3.971     0.000     0.000     1.500
C2H5               2   252.300     4.302     0.000     0.000     1.500    
C2H6               2   252.300     4.302     0.000     0.000     1.500    
HCCO               2   150.000     2.500     0.000     0.000     1.000    
HCCOH              2   436.000     3.970     0.000     0.000     2.000    
CH2CO              2   436.000     3.970     0.000     0.000     2.000    
CH2CHO             2   436.000     3.970     0.000     0.000     2.000    
C2H2OH             2   224.700     4.162     0.000     0.000     1.000                                                                              
C3H2               2   209.000     4.100     0.000     0.000     1.000
C3H2O              2   252.000     4.760     0.000     0.000     1.000
C3H3               2   252.000     4.760     0.000     0.000     1.000    
aC3H4              1   252.000     4.760     0.000     0.000     1.000    
pC3H4              1   252.000     4.760     0.000     0.000     1.000          
cC3H4              1   252.000     4.760     0.000     0.000     1.000
CH2OCH2            1   252.000     4.760     0.000     0.000     1.000
CH2OCH             1   252.000     4.760     0.000     0.000     1.000
CH3CH2CHO          1   252.000     4.760     0.000     0.000     1.000
CH3COHCH2          1   252.000     4.760     0.000     0.000     1.000                                                                                
C4H                1   357.000     5.180     0.000     0.000     1.000          
C4H2               1   357.000     5.180     0.000     0.000     1.000          
H2C4O              2   357.000     5.180     0.000     0.000     1.000   
C4H2OH             2   224.700     4.162     0.000     0.000     1.000   
iC4H3              2   357.000     5.180     0.000     0.000     1.000   
nC4H3              2   357.000     5.180     0.000     0.000     1.000   
C4H4               2   357.000     5.180     0.000     0.000     1.000   
iC4H5              2   357.000     5.180     0.000     0.000     1.000   
nC4H5              2   357.000     5.180     0.000     0.000     1.000   
C4H5-2             2   357.000     5.180     0.000     0.000     1.000
C4H5-1s            2   357.000     5.180     0.000     0.000     1.000
C4H5-1p            2   357.000     5.180     0.000     0.000     1.000
C4H6               2   357.000     5.180     0.000     0.000     1.000
C4H6-1             2   357.000     5.180     0.000     0.000     1.000  
C4H6-2             2   357.000     5.180     0.000     0.000     1.000
C4H612             2   357.000     5.180     0.000     0.000     1.000 
CH3CHOCH2          2   357.000     5.180     0.000     0.000     1.000                                                                                
C5H2               1   357.000     5.180     0.000     0.000     1.000          
C5H3               1   357.000     5.180     0.000     0.000     1.000          
C5H5               2   408.000     5.200     0.000     0.000     1.000
C5H6               2   408.000     5.200     0.000     0.000     1.000
C5H5CH3            2   408.000     5.200     0.000     0.000     1.000
C5H52              1   357.000     5.180     0.000     0.000     1.000               
lC5H7              1   357.000     5.180     0.000     0.000     1.000
C4H6O25            1   357.000     5.180     0.000     0.000     1.000
C4H6O23            1   357.000     5.180     0.000     0.000     1.000
C4H4O              1   357.000     5.180     0.000     0.000     1.000
CH2CHCO            1   357.000     5.180     0.000     0.000     1.000
CH2CHCHCHO         1   357.000     5.180     0.000     0.000     1.000
CH3CHCHCO          1   357.000     5.180     0.000     0.000     1.000
C2H3CHOCH2         1   357.000     5.180     0.000     0.000     1.000
CH3CHCHCHO         1   357.000     5.180     0.000     0.000     1.000                                                                                
C6H                1   357.000     5.180     0.000     0.000     1.000          
C6H2               1   357.000     5.180     0.000     0.000     1.000          
C6H3               2   357.000     5.180     0.000     0.000     1.000  
l-C6H4             2   412.300     5.349     0.000     0.000     1.000  
nC6H5              2   412.300     5.349     0.000     0.000     1.000  
i-C6H5             2   412.300     5.349     0.000     0.000     1.000  
l-C6H6             2   412.300     5.349     0.000     0.000     1.000  
n-C6H7             2   412.300     5.349     0.000     0.000     1.000  
i-C6H7             2   412.300     5.349     0.000     0.000     1.000                                                                                  
C6H615             2   464.8       5.29      0.00     10.32      0.000
C6H8               2   412.300     5.349     0.000     0.000     1.000
A1O                2   464.8       5.29      0.00     10.32      0.000
A1OH               2   464.8       5.29      0.00     10.32      0.000
A1                 2   464.8       5.29      0.00     10.32      0.000
A1-                2   464.8       5.29      0.00     10.32      0.000
n-C6H5             2   412.300     5.349     0.000     0.000     1.000
fulvene            2   464.8       5.29      0.00     10.32      0.000
o-C6H4             2   464.8       5.29      0.00     10.32      0.000
A1CO               2   593         5.5       2.8       0.0       1.0
C6H4O2             2   485         5.425     0.4       0.0       1.0
C5H5O24            2   494         5.2       1.6       0.0       1.0
C5H5O13            2   494         5.2       1.6       0.0       1.0
cC5H4              1   357.000     5.180     0.000     0.000     1.000
C5H4               1   357.000     5.180     0.000     0.000     1.000
lC5H5              1   357.000     5.180     0.000     0.000     1.000   
cC6H7              2   464.8       5.29      0.00     10.32      0.000
lC6H7              2   412.300     5.349     0.000     0.000     1.000
C4H5C2H            2   412.300     5.349     0.000     0.000     1.000
A1O2               2   464.8       5.29      0.00     10.32      0.000                                                                            
P-C6H4O2           2   450.000     5.500     0.000     0.000     1.000
P-C6H3O2           2   450.000     5.500     0.000     0.000     1.000
O-C6H4O2           2   450.000     5.500     0.000     0.000     1.000
O-C6H3O2-1         2   450.000     5.500     0.000     0.000     1.000
O-C6H3O2-2         2   450.000     5.500     0.000     0.000     1.000
P-OC6H5OJ          2   450.000     5.500     0.000     0.000     1.000
O-OC6H5OJ          2   450.000     5.500     0.000     0.000     1.000                                                                                                                      
A1CH3              2   495.3       5.68      0.43     12.30      1.000
C6H4C2H4           2   546.2       6.00      0.13     15.00      1.000
A1cC2H4            2   546.2       6.00      0.13     15.00      1.000
A1cC2H3            2   546.2       6.00      0.13     15.00      1.000
p-C8H10            2   546.2       6.00      0.13     15.00      1.000
p-C8H9             2   546.2       6.00      0.13     15.00      1.000
p-C8H8             2   546.2       6.00      0.13     15.00      1.000
o-C8H10            2   546.2       6.00      0.13     15.00      1.000
o-C8H9             2   546.2       6.00      0.13     15.00      1.000
o-C8H8             2   546.2       6.00      0.13     15.00      1.000
m-C8H10            2   546.2       6.00      0.13     15.00      1.000
m-C8H9             2   546.2       6.00      0.13     15.00      1.000
m-C8H8             2   546.2       6.00      0.13     15.00      1.000
m-C8H8*            2   546.2       6.00      0.13     15.00      1.000
A1C2H3             2   546.2       6.00      0.13     15.00      1.000
A1C2H5             2   485         5.425     0.4       0.0       1.0  
A1CHCH3            2   546.2       6.00      0.13     15.00      1.000
A1CH2CH2           2   546.2       6.00      0.13     15.00      1.000
A1CH2CHO           2   546.2       6.00      0.13     15.00      1.000
A1CH2CH2O          2   546.2       6.00      0.13     15.00      1.000
A1CHCHO            2   546.2       6.00      0.13     15.00      1.000
