!**************************************************************************************************************************************
!                  INFLUENCE OF SUBSTITUTED FURANS ON THE FORMATION OF POLYCYCLIC AROMATIC HYDROCARBONS IN FLAMES 
!
!    Sy Tran 1, Baptiste Sirjean 1,  Pierre Alexandre Glaude 1, Katharina Kohse-Höinghaus 2, Frédérique Battin Leclerc 1*
!
!1 Laboratoire Réactions et Génie des Procédés, UMR 7274 CNRS - Université de Lorraine, 1 rue Grandville, 54000 Nancy, France
!
!2 Department of Chemistry, Bielefeld University, Universitätsstraße 25, D-33615 Bielefeld, Germany
!
!*email: Frederique.Battin-Leclerc@univ-lorraine.fr.
!**************************************************************************************************************************************
                                                               
! **                                                          ** !                                                                
! ** 1st col: species name                                    ** !                                                                
! ** 2nd col: 0 for monatomic, 1 for linear, 2 for nonlinear  ** !                                                                
! ** 3rd col: Lennard-Jones well depth  e/k                   ** !                                                                
! ** 4th col: Lennard-Jones collision diameter (A)            ** !                                                                
! ** 5th col: dipole moment in Debye                          ** !                                                                
! ** 6th col: polarizability in A^3                           ** !                                                                
! ** 7th col: rotational relaxation collision number at 298K  ** !                                                                
! ************************************************************** !                                                                
                                                                                                                                  
                                                                                                                                  
                                                                                                                                  
!SPECIES                                                                                                                          
!Bath gas!                                                                                                                        
AR                 0   136.500     3.330     0.000     0.000     0.000                                                            
HE                 0    10.200     2.576     0.000     0.000     0.000                                                            
N2                 1    97.530     3.621     0.000     1.760     4.000                                                            
ar                 0   136.500     3.330     0.000     0.000     0.000                                                            
he                 0    10.200     2.576     0.000     0.000     0.000                                                            
n2                 1    97.530     3.621     0.000     1.760     4.000                                                            
                                                                                                                                  
! Biradicals (CO-C2 reaction base):                                                                                               
B1O                0    80.000     2.750     0.000     0.000     0.000 ! (GRI)                                                    
B2CO               1    98.100     3.650     0.000     1.950     1.800 ! (GRI)                                                    
B3C                0    71.400     3.298     0.000     0.000     0.000 ! (GRI)                                                    
B4CH               1    80.000     2.750     0.000     0.000     0.000 ! (GRI)                                                    
B5CH2              1   144.000     3.800     0.000     0.000     0.000 ! (GRI)                                                    
B6CH2              1   144.000     3.800     0.000     0.000     0.000 ! (GRI)                                                    
                                                                                                                                  
o                 0    80.000     2.750     0.000     0.000     0.000 ! (GRI)                                                     
co                1    98.100     3.650     0.000     1.950     1.800 ! (GRI)                                                     
c                 0    71.400     3.298     0.000     0.000     0.000 ! (GRI)                                                     
ch                1    80.000     2.750     0.000     0.000     0.000 ! (GRI) 
CH*               1    80.000     2.750     0.000     0.000     0.000 ! =CH (GRI) 
CHE               1    80.000     2.750     0.000     0.000     0.000 ! =CH (GRI)                                                     
ch2               1   144.000     3.800     0.000     0.000     0.000 ! (GRI)                                                     
ch2(s)            1   144.000     3.800     0.000     0.000     0.000 ! (GRI)                                                     
                                                                                                                                  
                                                                                                                                  
! Primary Molecules :                                                                                                             
! Reactants and CO-C2 base:                                                                                                       
H2                 1    38.000     2.920     0.000     0.790   280.000 ! (GRI)                                                    
H2O                2   572.400     2.605     1.844     0.000     4.000 ! (GRI)                                                    
O2                 1   107.400     3.458     0.000     1.600     3.800 ! (GRI)                                                    
H2O2               2   107.400     3.458     0.000     0.000     3.800 ! (GRI)                                                    
CH4                2   141.400     3.746     0.000     2.600    13.000 ! (GRI)                                                    
CO2                1   244.000     3.763     0.000     2.650     2.100 ! (GRI)                                                    
HCHO               2   498.000     3.590     0.000     0.000     2.000 ! formaldehyde (GRI)                                       
CH3OH              2   481.800     3.626     0.000     0.000     1.000 ! sve (GRI)                                                
CH3OOH             2   481.800     3.626     0.000     0.000     1.000 ! ??? ASSUMED SAMEAS CH3OH  APC                            
!C2H2T              1   209.000     4.100    0.000     0.000     2.500 ! (GRI)
C2H2T              1   265.3       3.721     0         0         2.5   ! Curran mech                                                    
H2CC               1   265.3       3.721     0         0         2.5   ! =C2H2T                                                  
!C2H4Z              2   280.800     3.971     0.000     0.000     1.500 ! (GRI)
C2H4Z              2   238.4       3.496     0.000     0.000     1.5   ! Curran mech                                                   
!C2H6               2   252.300     4.302     0.000     0.000     1.500 ! (GRI)    
C2H6               2   247.5       4.35      0.000     0.000     1.500  !Curran mech                                                 
C2H4O#3            2   436.000     3.970     0.000     0.000     2.000 ! wjp same as ch2co                                        
CH2COZ             2   436.000     3.970     0.000     0.000     2.000 ! ASSUMED SAME ASCH2CO  APC 
HCCOH              2   436.000     3.970     0.000     0.000     2.000 !Curran mech   
HO2CHO             2   436.000     3.970     0.000     0.000     2.000 !Curran mech
HOCHO              2   436.000     3.970     0.000     0.000     2.000 !Curran mech
HOCH2O2H           2   481.800     3.626     1.7       0.000     1.000 ! ch3oh !Curran mech
CH3OCH3            2   395         4.037     1.3       0         1     !Curran mech
HO2CH2OCHO         2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech
CH3OCH2O2H         2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech
CH3OCHO            2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech
RO2CHO             2   436         3.97      0         0         2     ! Curran mech
RHOCH2O2           2   481.800     3.626     1.7       0.000     1.000 ! ch3oh  ! Curran mech
RCH3CO2            2   436.000     3.970     0.000     0.000     2.000 ! Curran mech
ROCH2O2H           2   481.800     3.626     1.7       0.000     1.000 ! ch3oh  ! Curran mech
RO2C2H4OH          2   523.2       5.664     1.7       0.0       1.0   ! wjp ! Curran mech
RCH3OCH2           2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech  
RCH3OCH2O          2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech 
RC2H3O#3           2   436         3.97      0         0         2     !=c2h3o1-2!wjpsameasch2co !Curran mech 
RCH3OCH2O2         2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech 
ROCHO              2   498.000     3.590     0.000     0.000     2.000 ! wjp!Curran mech 
RHOCH2O            2   481.800     3.626     1.7       0.000     1.000 ! ch3oh!Curran mech 
RCH2OCH2O2H        2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech 
RO2CH2OCH2O2H      2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech 
ROCH2OCHO          2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech 
RHOCH2OCO          2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech
RCH2OCHO           2   395.0       4.037     1.3       0.0       1.0   ! ch3och3!Curran mech
CH3CF3             2   395.0       4.037     1.3       0.0       1.0   ! ch3och3                            !Luc
CH2CF2             2   395.0       4.037     1.3       0.0       1.0   ! ch3och3                            !Luc
HF                 2   141.400     3.746     0.000     2.600    13.000 ! =CH4                               !Luc                           
CH3CHO             2   436.000     3.970     0.000     0.000     2.000 ! (GRI)                                                    
!C2H5OH             2   362.6       4.53      0.000     0.000     1.000 ! sve                                                      
C2H5OH             2   470.6       4.41      0         0         1.500 ! Curran mech      
!C2H5OOH            2   362.6       4.53      0.000     0.000     1.000 ! same as C2H5OHAPC   
C2H5OOH            2   470.6       4.41      0         0         1.500 ! Curran mech                                      
CH3COOOH           2   436.000     3.970     0.000     0.000     2.000 ! wjp                                                      
C3H8               2   266.800     4.982     0.000     0.000     1.000 ! (GRI)                                                    
C4H8Y              2   357.000     5.176     0.000     0.000     1.000 ! (GRI)   
C4H8-2             2   357.000     5.176     0.000     0.000     1.000 ! (GRI)                                                  
C4H10              2   531.4       4.687     0.0       0.0       1.000 !                                                          
C2H5CHO            2   435.2       4.662     2.7       0.0       1.0   ! wjp                                                      
C3H7OH             2   444.197     5.063     0.000     0.000     0.000 ! same as C3H8COAPC                                        
C2H6CO             2   403.6       4.968     2.0       0.0       1.0   ! wjp - Acetone c3h6o or (ch3)2co                          
C3H8CO             2   444.197     5.063     0.000     0.000     0.000 ! flamemaster - butanone ou iso-butanone?                  
C2H3CHOZ           2   428.8       4.958     2.9       0.0       1.0   ! wjp: TcPc acrolein, Poling, 4th Ed. (curran)             
                                                                                                                                  
!h2                 1    38.000     2.920     0.000     0.790   280.000 ! (GRI)                                                    
!h2o                2   572.400     2.605     1.844     0.000     4.000 ! (GRI)                                                    
!o2                 1   107.400     3.458     0.000     1.600     3.800 ! (GRI)                                                    
