!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!                      Ignition characteristics of 2-methyltetrahydrofuran: An experimantal and kinetic study                                               !!
!!        Rupali Tripathi (a), Changyoul Lee (b,c), Ravi X. Fernandes (b,d), Herbert Olivier (e), Henry J. Curran (c), S. Mani Sarathy (f), Heinz Pitsch (a) !!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!!
!!2-MTHF trans file
!!!
#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
N2                 0    97.530     3.621     0.000     0.000     0.000
H                  0   145.000     2.050     0.000     0.000     0.000
O2                 0   107.400     3.458     0.000     0.000     0.000
O                  0    80.000     2.750     0.000     0.000     0.000
OH                 0    80.000     2.750     0.000     0.000     0.000
H2                 0    38.000     2.920     0.000     0.000     0.000
H2O                0   572.400     2.605     0.000     0.000     0.000
AR                 0   136.500     3.330     0.000     0.000     0.000
HE                 0    10.200     2.576     0.000     0.000     0.000
HO2                0   107.400     3.458     0.000     0.000     0.000
H2O2               0   107.400     3.458     0.000     0.000     0.000
CO                 0    98.100     3.650     0.000     0.000     0.000
CO2                0   244.000     3.763     0.000     0.000     0.000
HCO                0   498.000     3.590     0.000     0.000     0.000
C                  0    71.400     3.298     0.000     0.000     0.000
CH                 0    80.000     2.750     0.000     0.000     0.000
TXCH2              0   144.000     3.800     0.000     0.000     0.000
CH3                0   144.000     3.800     0.000     0.000     0.000
CH2O               0   498.000     3.590     0.000     0.000     0.000
HCCO               0   150.000     2.500     0.000     0.000     0.000
C2H                0   209.000     4.100     0.000     0.000     0.000
CH2CO              0   436.000     3.970     0.000     0.000     0.000
C2H2               0   209.000     4.100     0.000     0.000     0.000
SXCH2              0   144.000     3.800     0.000     0.000     0.000
CH3OH              0   481.800     3.626     0.000     0.000     0.000
CH2OH              0   417.000     3.690     0.000     0.000     0.000
CH3O               0   417.000     3.690     0.000     0.000     0.000
CH4                0   141.400     3.746     0.000     0.000     0.000
CH3O2              0   481.800     3.626     0.000     0.000     0.000
C2H3               0   209.000     4.100     0.000     0.000     0.000
C2H4               0   280.800     3.971     0.000     0.000     0.000
C2H5               0   252.300     4.302     0.000     0.000     0.000
HCCOH              0   436.000     3.970     0.000     0.000     0.000
CH2CHO             0   436.000     3.970     0.000     0.000     0.000
