AR               0 1.276970E+02 3.462000E+00 0.000000E+00 1.609000E+00 2.000000E+00
N2               1 9.783900E+01 3.610000E+00 0.000000E+00 1.756000E+00 4.000000E+00
HE               0 1.144200E+01 2.715000E+00 0.000000E+00 2.040000E-01 2.000000E+00
H2               1 3.046900E+02 2.190000E+00 0.000000E+00 7.750000E-01 2.800000E+02
H                0 5.416720E+02 1.530000E+00 0.000000E+00 6.660000E-01 0.000000E+00
O2               1 6.764240E+02 3.069000E+00 0.000000E+00 1.487000E+00 3.800000E+00
O                0 2.356860E+02 2.485000E+00 0.000000E+00 7.440000E-01 0.000000E+00
H2O              2 6.370560E+02 2.943000E+00 1.851000E+00 1.407000E+00 4.000000E+00
OH               1 5.145980E+02 2.582000E+00 1.635000E+00 1.077000E+00 0.000000E+00
OHV              1 5.145980E+02 2.582000E+00 1.635000E+00 1.077000E+00 0.000000E+00
H2O2             2 1.361148E+03 3.179000E+00 1.702000E+00 2.239000E+00 3.800000E+00
HO2              2 9.630030E+02 3.129000E+00 2.146000E+00 1.959000E+00 3.800000E+00
HOCO             2 4.980000E+02 3.590000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CO               1 9.810000E+01 3.650000E+00 0.000000E+00 1.950000E+00 1.800000E+00
CO2              1 2.440000E+02 3.763000E+00 0.000000E+00 2.650000E+00 2.100000E+00
CH3O2H           2 4.818000E+02 3.626000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CH3O2            2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
CH2O2H           2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
CH4              2 1.414000E+02 3.746000E+00 0.000000E+00 2.600000E+00 1.300000E+01
CH3              1 1.440000E+02 3.800000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH2              1 1.440000E+02 3.800000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH2(S)           1 1.440000E+02 3.800000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C                0 7.140000E+01 3.298000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH               1 8.000000E+01 2.750000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CHV              1 8.000000E+01 2.750000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH3OH            2 4.818000E+02 3.626000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CH3O             2 4.170000E+02 3.690000E+00 1.700000E+00 0.000000E+00 2.000000E+00
CH2OH            2 4.170000E+02 3.690000E+00 1.700000E+00 0.000000E+00 2.000000E+00
