!TRANSPORT
!!!!!!!!!!!!!
H                  0   541.672     1.530     0.000     0.666     0 !
H2                 1   304.690     2.190     0.000     0.775   280 !
O                  0   235.686     2.485     0.000     0.744     0 !
OH                 1   514.598     2.582     1.635     1.077     0 !
H2O                2   637.056     2.943     1.851     1.407     4 !
O2                 1   676.424     3.069     0.000     1.487     3.8 !
HO2                2   963.003     3.129     2.146     1.959     3.8 !
H2O2               2  1361.148     3.179     1.702     2.239     3.8 !
N2                 1    97.839     3.610     0.000     1.756     4 !
CO                 1        98.100     3.650     0.000     1.950     1.800 !
CO2                1       244.000     3.763     0.000     2.650     2.100 !
CH4                2       141.400     3.746     0.000     2.600    13.000 !
CH3                1       144.000     3.800     0.000     0.000     0.000 !
CH2O               2       498.000     3.590     0.000     0.000     2.000 !
HCO                2       498.000     3.590     0.000     0.000     0.000 !
END
