!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                             !
!                This CHEMKIN mechanism file is part of the                   !
!                        Supplemental Material for                            !
!                                                                             !
!          A detailed kinetic submechanism for OH* chemiluminescence          ! 
!              in hydrogen combustion revisited. Parts 1 and 2                !
!                                                                             !
!              Alexander S. Sharipov*1, Boris I. Loukhovitski**1,             !
!               Alexey V. Pelevkin***2, Mayya R. Korshunova****1              !
!                                                                             !
! 1 Joint Institute for High Temperatures of the Russian Academy of Sciences  !
! 2 Prokhorov General Physics Institute of the Russian Academy of Sciences    !
!                                                                             !
!                  * aleksandr.sharipov@phystech.edu (theory)                 !
!                 ** boris.loukhovitski@yandex.ru    (modeling)               !
!                *** pelevkin@phystech.edu           (theory)                 !
!               **** korshunova@labnp-jiht.ru        (experimental)           !
!                                                                             !
!                       Combustion and Flame, 2024                            !
!                                                                             !
! Mechanism of this file comprises three parts:                               !
!  -  H2/O2 kinetic model of Varga et al. (2015)                              !
!  -  NOx reaction subset embedded in the CRECK chemistry model               !
!  -  OH* kinetics submechanism developed in this work "JIHT-OHex(H2)"        !
!                                                                             !
!  but the OH* kinetics we developed can be used together with any            !
!  other ground-state H2-O2-N2 chemistry model.                               !
!                                                                             !
! The OH* transport properties were taken from                                !
!     [A.S. Sharipov, B.I. Loukhovitski, A.V. Pelevkin,                       !
!     Diffusion Coefficients of Electronically Excited Molecules //           !
!     Fluid Dyn., 2023, 58, 787-795]                                          !
!                                                                             !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

OHEX               1    59.520     3.461     0.000     0.000     0.000
H                  0   145.000     2.050     0.000     0.000     0.000
H2                 1    38.000     2.920     0.000     0.790   280.000
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800
OH                 1    80.000     2.750     0.000     0.000     0.000
H2O                2   572.400     2.605     1.844     0.000     4.000
N2                 1    97.530     3.621     0.000     1.760     4.000
HO2                2   107.400     3.458     0.000     0.000     1.000
H2O2               2   107.400     3.458     0.000     0.000     3.800
AR                 0   136.500     3.330     0.000     0.000     0.000
HE                 0    10.200     2.576     0.000     0.000     0.000
KR                 0   201.000     4.010     0.000     0.000     0.000
NO                 1    97.500     3.621     0.000     1.760     4.000
N2O                1   232.400     3.828     0.000     0.000     1.000
NO2                2   200.000     3.500     0.000     0.000     1.000
HNO                2   116.700     3.492     0.000     0.000     1.000
HNO2               2   200.000     3.500     0.000     0.000     1.000
HONO               2   200.000     3.500     0.000     0.000     1.000
HONO2              2   300.000     3.500     0.000     0.000     1.000
N2H2               2    71.400     3.798     0.000     0.000     1.000
H2NN               2    71.400     3.798     0.000     0.000     1.000
HNNO               2   232.400     3.828     0.000     0.000     1.000
NH2NO              2   232.400     3.828     0.000     0.000     1.000
NH2OH              2   116.700     3.492     0.000     0.000     1.000
HNOH               2   116.700     3.492     0.000     0.000     1.000
NH3                2   481.000     2.920     1.470     0.000    10.000
N2H4               2   205.000     4.230     0.000     4.260     1.500
N                  0    71.400     3.298     0.000     0.000     0.000
NO3                2   300.000     3.500     0.000     0.000     1.000
NH                 1    80.000     2.650     0.000     0.000     4.000
NNH                2    71.400     3.798     0.000     0.000     1.000
NH2                2    80.000     2.650     0.000     2.260     4.000
H2NO               2   116.700     3.492     0.000     0.000     1.000
N2H3               2   200.000     3.900     0.000     0.000     1.000
