!species         geom  epsilon     sigma      Mu       alpha     Zrot    comments
INT221             2     970.751 	8.468       5.053     19.942    2.000    
INT206             2    889.875 	8.349       7.231     15.192    2.000                                                                               
RDXR-H             2    841.447 	8.074       6.770     15.406    2.000 
RDXRO-H            2    818.949   8.101       6.612     94.030    2.000   
INT129-1           2    707.537 	7.441       2.714     11.214    2.000    
INT129-2           2    707.537 	7.441       2.416     11.310    2.000    
INT82              2    558.747 	6.766       0.555     8.173     2.000    
RDXISO             2    977.590 	8.522       5.228     16.922    2.000    
INT192             2    828.422	  7.766       4.629     14.498    2.000    
INT101             2    610.600  	6.706       5.060     8.905     2.000    
HCNN               2   239.890     5.400     2.980     3.810     2.000 
HNO3               2   369.570     4.410     2.380     3.490     2.000 
C2N2               1   349.000     4.361     0.000     0.000     1.000 
CNO                1   116.220     5.370     0.880     3.200     2.000 
H2CNH              2   390.620     4.390     2.150     3.110     2.000 
H2CNO              2   290.980     4.540     2.360     3.800     2.000 
H2CNNO2            2   442.410     4.970     3.960     5.540     2.000 
H2CNNO             2   410.470     4.860     3.160     5.070     2.000 
RDX                2  1256.070     6.650     7.430    15.830     2.000 
RDXR               2  1237.980     6.300     4.720    13.800     2.000 
RDXRO              2  1074.990     6.490     4.130    13.950     2.000 
HMX                2  1536.530     7.270     9.340    21.580     2.000 
HMXR               2  1456.980     7.000     8.770    18.870     2.000 
HMXRO              2  1433.430     7.130     5.820    19.650     2.000 
H2CNOH             2   448.070     4.450     0.360     3.960     2.000 
HNNO2              2   581.560     4.700     3.600     5.510     2.000 
N3                 1   392.240     4.110     0.000     2.990     2.000 
CH2N2              2   382.670     4.880     1.690     4.260     2.000 
INT176             2  1091.040     6.500     6.560    14.030     2.000 
INT149             2  1000.620     5.970     3.850    12.050     2.000 
MNH                2   585.410     4.920     4.760     6.730     2.000 
INT102             2   760.160     5.670     2.530     8.950     2.000 
INT130             2  1179.880     6.000     5.250    11.160     2.000 
C2N2H4             2   586.520     5.480     1.730     6.090     2.000 
INT175             2  1085.260     6.370     3.900    13.780     2.000 
INT128             2   879.070     6.180     1.260    11.060     2.000 
C3N3H3             2   573.430     6.090     0.000     7.460     2.000 
INT249             2  1362.990     7.020     7.660    18.850     2.000 
