!Transport data used in:
!Experimental and modelling study on the ignition delay time of dimethyl carbonate in shock tubes and rapid compression machine
!by Katiuska Alexandrino, María U. Alzueta, Henry J. Curran

!version:  15_50_1112
!authors:  c3
!note:     species re-arranged as the same order in mech, analogies have been indicated by corresponding species name in comments. data mostly from aramco mech 1.3
ar                            0   136.500     3.330     0.000     0.000     0.000 !
n2                            1    97.530     3.621     0.000     1.760     4.000 !
he                            0    10.200     2.576     0.000     0.000     0.000 !
h2                            1    38.000     2.920     0.000     0.790   280.000 !
h                             0   145.000     2.050     0.000     0.000     0.000 !
o2                            1   107.400     3.458     0.000     1.600     3.800 !
o                             0    80.000     2.750     0.000     0.000     0.000 !
h2o                           2   572.400     2.605     1.844     0.000     4.000 !
oh                            1    80.000     2.750     0.000     0.000     0.000 !
ohv                           1    80.000     2.750     0.000     0.000     0.000 !
h2o2                          2   107.400     3.458     0.000     0.000     3.800 !
ho2                           2   107.400     3.458     0.000     0.000     1.000 !
co                            1    98.100     3.650     0.000     1.950     1.800 !
co2                           1   244.000     3.763     0.000     2.650     2.100 !
hoco                          2   498.000     3.590     0.000     0.000     2.000 !
ch4                           2   141.400     3.746     0.000     2.600    13.000 !
ch3                           1   144.000     3.800     0.000     0.000     0.000 !
ch2                           1   144.000     3.800     0.000     0.000     0.000 !
ch2(s)                        1   144.000     3.800     0.000     0.000     0.000 !
c                             0    71.400     3.298     0.000     0.000     0.000 !
ch                            1    80.000     2.750     0.000     0.000     0.000 !
chv                           1    80.000     2.750     0.000     0.000     0.000 !
ch3o2h                        2   481.800     3.626     0.000     0.000     1.000 !
ch3o2                         2   481.800     3.626     0.000     0.000     1.000 !
ch2o2h                        2   238.400     3.496     0.000     0.000     1.500 !
ch3oh                         2   481.800     3.626     0.000     0.000     1.000 !
ch3o                          2   417.000     3.690     1.700     0.000     2.000 !
ch2oh                         2   417.000     3.690     1.700     0.000     2.000 !
ch2o                          2   498.000     3.590     0.000     0.000     2.000 !
hco                           2   498.000     3.590     0.000     0.000     0.000 !
hcoh                          2   498.000     3.590     0.000     0.000     1.000 !
ho2cho                        2   436.000     3.970     0.000     0.000     2.000 !
hoch2o2h                      2   481.800     3.626     1.700     0.000     1.000 !
hoch2o2                       2   481.800     3.626     1.700     0.000     1.000 !
och2o2h                       2   481.800     3.626     1.700     0.000     1.000 !
hoch2o                        2   470.600     4.410     0.000     0.000     1.500 !
o2cho                         2   436.000     3.970     0.000     0.000     2.000 !
hocho                         2   436.000     3.970     0.000     0.000     2.000 !
ocho                          2   498.000     3.590     0.000     0.000     2.000 !
c2h6                          2   247.500     4.350     0.000     0.000     1.500 !
c2h5                          2   247.500     4.350     0.000     0.000     1.500 !
c2h5o2h                       2   470.600     4.410     0.000     0.000     1.500 !
c2h5o2                        2   470.600     4.410     0.000     0.000     1.500 !
c2h4                          2   238.400     3.496     0.000     0.000     1.500 !
c2h3                          2   265.300     3.721     0.000     0.000     1.000 !
chocho                        1   440.200     4.010     0.000     0.000     2.000 !
c2h3ooh                       2   436.000     3.970     0.000     0.000     2.000 !
c2h3oo                        2   436.000     3.970     0.000     0.000     2.000 !ch3co2
chcho                         2   436.000     3.970     0.000     0.000     2.000 !hccoh
c2h2                          1   265.300     3.721     0.000     0.000     2.500 !
c2h                           1   265.300     3.721     0.000     0.000     2.500 !
h2cc                          2   209.000     4.100     0.000     0.000     2.500 !
c2h5oh                        2   470.600     4.410     0.000     0.000     1.500 !
c2h5o                         2   470.600     4.410     0.000     0.000     1.500 !
pc2h4oh                       2   470.600     4.410     0.000     0.000     1.500 !
sc2h4oh                       2   470.600     4.410     0.000     0.000     1.500 !
o2c2h4oh                      2   523.200     5.664     1.700     0.000     1.000 !
c2h4o2h                       2   470.600     4.410     0.000     0.000     1.500 !
c2h4o1-2                      2   436.000     3.970     0.000     0.000     2.000 !
c2h3o1-2                      2   436.000     3.970     0.000     0.000     2.000 !
ch3cho                        2   436.000     3.970     0.000     0.000     2.000 !
ch3co                         2   436.000     3.970     0.000     0.000     2.000 !
ch2cho                        2   436.000     3.970     0.000     0.000     2.000 !
o2ch2cho                      2   275.049     5.428     0.000     0.000     1.000 !
ho2ch2co                      2   279.007     5.505     1.300     0.000     1.000 !
c2h3oh                        2   470.600     4.410     0.000     0.000     1.500 !
c2h2oh                        2   224.700     4.162     0.000     0.000     1.000 !
ch2co                         2   436.000     3.970     0.000     0.000     2.000 !
hcco                          2   150.000     2.500     0.000     0.000     1.000 !
hccoh                         2   436.000     3.970     0.000     0.000     2.000 !
ch3co3h                       2   436.000     3.970     0.000     0.000     2.000 !
ch3co3                        2   436.000     3.970     0.000     0.000     2.000 !
ch3co2                        2   436.000     3.970     0.000     0.000     2.000 !
ch3och3                       2   395.000     4.037     1.300     0.000     1.000 !
ch3och2                       2   395.000     4.037     1.300     0.000     1.000 !
ch3och2o2h                    2   395.000     4.037     1.300     0.000     1.000 !
ch3och2o2                     2   395.000     4.037     1.300     0.000     1.000 !
ch2och2o2h                    2   395.000     4.037     1.300     0.000     1.000 !
o2ch2och2o2h                  2   395.000     4.037     1.300     0.000     1.000 !
ho2ch2ocho                    2   395.000     4.037     1.300     0.000     1.000 !
och2ocho                      2   395.000     4.037     1.300     0.000     1.000 !
hoch2oco                      2   395.000     4.037     1.300     0.000     1.000 !
