!LLNL_GASOLINE_R20200313
!THERMO

!THIS WORK WAS PERFORMED UNDER THE AUSPICES OF THE U.S. DEPARTMENT OF ENERGY BY
!LAWRENCE LIVERMORE NATIONAL LABORATORY UNDER CONTRACT DE-AC52-07NA27344.

!THIS DOCUMENT WAS PREPARED AS AN ACCOUNT OF WORK SPONSORED BY AN AGENCY OF THE 
!UNITED STATES GOVERNMENT. NEITHER THE UNITED STATES GOVERNMENT NOR LAWRENCE 
!LIVERMORE NATIONAL SECURITY, LLC, NOR ANY OF THEIR EMPLOYEES MAKES ANY 
!WARRANTY, EXPRESSED OR IMPLIED, OR ASSUMES ANY LEGAL LIABILITY OR 
!RESPONSIBILITY FOR THE ACCURACY, COMPLETENESS, OR USEFULNESS OF ANY 
!INFORMATION, APPARATUS, PRODUCT, OR PROCESS DISCLOSED, OR REPRESENTS THAT ITS 
!USE WOULD NOT INFRINGE PRIVATELY OWNED RIGHTS. REFERENCE HEREIN TO ANY SPECIFIC
!COMMERCIAL PRODUCT, PROCESS, OR SERVICE BY TRADE NAME, TRADEMARK, MANUFACTURER,
!OR OTHERWISE DOES NOT NECESSARILY CONSTITUTE OR IMPLY ITS ENDORSEMENT, 
!RECOMMENDATION, OR FAVORING BY THE UNITED STATES GOVERNMENT OR LAWRENCE 
!LIVERMORE NATIONAL SECURITY, LLC. THE VIEWS AND OPINIONS OF AUTHORS EXPRESSED 
!HEREIN DO NOT NECESSARILY STATE OR REFLECT THOSE OF THE UNITED STATES 
!GOVERNMENT OR LAWRENCE LIVERMORE NATIONAL SECURITY, LLC, AND SHALL NOT BE USED 
!FOR ADVERTISING OR PRODUCT ENDORSEMENT PURPOSES.


THERMO
  300.0000   1000.00 5000.0000
NC4KET12          201912C   4H   8O   3N   0G  298.0000 5000.0000 1400.21      1
 1.45433301E+01 2.80546373E-02-1.20785811E-05 2.34319294E-09-1.68724568E-13    2
-4.14472708E+04-4.34641131E+01-4.36638562E-01 7.15104253E-02-5.91422398E-05    3
 2.48997614E-08-4.20573713E-12-3.73353510E+04 3.35838759E+01                   4
NC4KET13          201912C   4H   8O   3N   0G  298.0000 5000.0000 1368.03      1
 1.30985234E+01 2.73306261E-02-1.11577271E-05 2.08760243E-09-1.46551566E-13    2
-4.23469944E+04-3.59613242E+01 2.93157203E+00 5.49923998E-02-3.85185874E-05    3
 1.36306643E-08-1.86604847E-12-3.94321088E+04 1.68709015E+01                   4
QC4H7OHP          201912C   4H   9O   3N   0G  298.0000 5000.0000 1156.60      1
 1.28885923E+01 2.92016964E-02-1.14037744E-05 2.06432852E-09-1.41382961E-13    2
-2.89326980E+04-3.29084916E+01 3.29614413E-01 7.25717828E-02-6.78559542E-05    3
 3.48880388E-08-7.33368796E-12-2.60083997E+04 2.95591191E+01                   4
SQC4H7OHP-4       201912C   4H   9O   3N   0G  298.0000 5000.0000 1089.88      1
 1.37676573E+01 2.80934145E-02-1.10355898E-05 2.00800857E-09-1.38120273E-13    2
-2.60672396E+04-3.55205068E+01 5.81787494E-01 7.11935691E-02-6.46581135E-05    3
 3.22963111E-08-6.73257320E-12-2.28100400E+04 3.08282833E+01                   4
PC4H8OH-2O2H      201912C   4H  10O   3N   0G  298.0000 5000.0000 1409.81      1
 1.38390517E+01 3.11515625E-02-1.24717265E-05 2.30065920E-09-1.59840893E-13    2
-5.09925744E+04-3.86483583E+01 5.73603313E-01 7.21672158E-02-5.99488427E-05    3
 2.66812628E-08-4.84583538E-12-4.75652024E+04 2.87555308E+01                   4
PC4H8OH-2O2       201912C   4H   9O   3N   0G  298.0000 5000.0000 1404.43      1
