! ************************************************************** !                                                                
! **        Transport properties for DCPR mechanisms          ** !                                                                
! **                                                          ** !                                                                
! **                DCPR - NANCY - FRANCE                     ** !                                                                
! **                   Roda Bounaceur                         ** !                                                                
! **                (NOVEMBRE 2008)                           ** !                                                                
! **                                                          ** !                                                                
! **                                                          ** !                                                                
! ** 1st col: species name                                    ** !                                                                
! ** 2nd col: 0 for monatomic, 1 for linear, 2 for nonlinear  ** !                                                                
! ** 3rd col: Lennard-Jones well depth  e/k                   ** !                                                                
! ** 4th col: Lennard-Jones collision diameter (A)            ** !                                                                
! ** 5th col: dipole moment in Debye                          ** !                                                                
! ** 6th col: polarizability in A^3                           ** !                                                                
! ** 7th col: rotational relaxation collision number at 298K  ** !                                                                
! ************************************************************** !                                                                
                                                                                                                                  
                                                                                                                                  
                                                                                                                                  
!SPECIES                                                                                                                          
!Bath gas!                                                                                                                        
AR                 0   136.500     3.330     0.000     0.000     0.000                                                            
HE                 0    10.200     2.576     0.000     0.000     0.000                                                            
N2                 1    97.530     3.621     0.000     1.760     4.000                                                            
ar                 0   136.500     3.330     0.000     0.000     0.000                                                            
he                 0    10.200     2.576     0.000     0.000     0.000                                                            
n2                 1    97.530     3.621     0.000     1.760     4.000                                                            
                                                                                                                                  
! Biradicals (CO-C2 reaction base):                                                                                               
B1O                0    80.000     2.750     0.000     0.000     0.000 ! (GRI)                                                    
B2CO               1    98.100     3.650     0.000     1.950     1.800 ! (GRI)                                                    
B3C                0    71.400     3.298     0.000     0.000     0.000 ! (GRI)                                                    
B4CH               1    80.000     2.750     0.000     0.000     0.000 ! (GRI)                                                    
B5CH2              1   144.000     3.800     0.000     0.000     0.000 ! (GRI)                                                    
B6CH2              1   144.000     3.800     0.000     0.000     0.000 ! (GRI)                                                    
                                                                                                                                  
o                 0    80.000     2.750     0.000     0.000     0.000 ! (GRI)                                                     
co                1    98.100     3.650     0.000     1.950     1.800 ! (GRI)                                                     
c                 0    71.400     3.298     0.000     0.000     0.000 ! (GRI)                                                     
ch                1    80.000     2.750     0.000     0.000     0.000 ! (GRI)                                                     
ch2               1   144.000     3.800     0.000     0.000     0.000 ! (GRI)                                                     
ch2(s)            1   144.000     3.800     0.000     0.000     0.000 ! (GRI)                                                     
                                                                                                                                  
                                                                                                                                  
! Primary Molecules :                                                                                                             
! Reactants and CO-C2 base:                                                                                                       
H2                 1    38.000     2.920     0.000     0.790   280.000 ! (GRI)                                                    
H2O                2   572.400     2.605     1.844     0.000     4.000 ! (GRI)                                                    
O2                 1   107.400     3.458     0.000     1.600     3.800 ! (GRI)                                                    
H2O2               2   107.400     3.458     0.000     0.000     3.800 ! (GRI)                                                    
CH4                2   141.400     3.746     0.000     2.600    13.000 ! (GRI)                                                    
CO2                1   244.000     3.763     0.000     2.650     2.100 ! (GRI)                                                    
HCHO               2   498.000     3.590     0.000     0.000     2.000 ! formaldehyde (GRI)                                       
CH3OH              2   481.800     3.626     0.000     0.000     1.000 ! sve (GRI)                                                
CH3OOH             2   481.800     3.626     0.000     0.000     1.000 ! ??? ASSUMED SAMEAS CH3OH  APC                            
C2H2T              1   209.000     4.100     0.000     0.000     2.500 ! (GRI)                                                    
C2H4Z              2   280.800     3.971     0.000     0.000     1.500 ! (GRI)                                                    
C2H6               2   252.300     4.302     0.000     0.000     1.500 ! (GRI)                                                    
C2H4O#3            2   436.000     3.970     0.000     0.000     2.000 ! wjp same as ch2co                                        
CH2COZ             2   436.000     3.970     0.000     0.000     2.000 ! ASSUMED SAME ASCH2CO  APC                                
CH3CHO             2   436.000     3.970     0.000     0.000     2.000 ! (GRI)                                                    
C2H5OH             2   362.6       4.53      0.000     0.000     1.000 ! sve                                                      
C2H5OOH            2   362.6       4.53      0.000     0.000     1.000 ! same as C2H5OHAPC                                        
CH3COOOH           2   436.000     3.970     0.000     0.000     2.000 ! wjp                                                      
C3H8               2   266.800     4.982     0.000     0.000     1.000 ! (GRI)                                                    
C4H8Y              2   357.000     5.176     0.000     0.000     1.000 ! (GRI)                                                    
C4H10              2   531.4       4.687     0.0       0.0       1.000 !                                                          
C2H5CHO            2   435.2       4.662     2.7       0.0       1.0   ! wjp                                                      
C3H7OH             2   444.197     5.063     0.000     0.000     0.000 ! same as C3H8COAPC                                        
C2H6CO             2   403.6       4.968     2.0       0.0       1.0   ! wjp - Acetone c3h6o or (ch3)2co                          
C3H8CO             2   444.197     5.063     0.000     0.000     0.000 ! flamemaster - butanone ou iso-butanone?                  
C2H3CHOZ           2   428.8       4.958     2.9       0.0       1.0   ! wjp: TcPc acrolein, Poling, 4th Ed. (curran)             
                                                                                                                                  
h2                 1    38.000     2.920     0.000     0.790   280.000 ! (GRI)                                                    
h2o                2   572.400     2.605     1.844     0.000     4.000 ! (GRI)                                                    
o2                 1   107.400     3.458     0.000     1.600     3.800 ! (GRI)                                                    
h2o2               2   107.400     3.458     0.000     0.000     3.800 ! (GRI)                                                    
ch4                2   141.400     3.746     0.000     2.600    13.000 ! (GRI)                                                    
co2                1   244.000     3.763     0.000     2.650     2.100 ! (GRI)                                                    
hcho               2   498.000     3.590     0.000     0.000     2.000 ! formaldehyde (GRI)                                       
ch3oh              2   481.800     3.626     0.000     0.000     1.000 ! sve (GRI)                                                
ch3o2h             2   481.800     3.626     0.000     0.000     1.000 ! ??? ASSUMED SAMEAS CH3OH  APC                            
c2h2              1   209.000     4.100     0.000     0.000     2.500 ! (gri)                                                     
c2h4              2   280.800     3.971     0.000     0.000     1.500 ! (gri)                                                     
c2h6               2   252.300     4.302     0.000     0.000     1.500 ! (gri)                                                    
c2h4o#3            2   436.000     3.970     0.000     0.000     2.000 ! wjp same as ch2co                                        
ch2co             2   436.000     3.970     0.000     0.000     2.000 ! assumed same as ch2co  apc                                
ch3cho             2   436.000     3.970     0.000     0.000     2.000 ! (gri)                                                    
c2h5oh             2   362.6       4.53      0.000     0.000     1.000 ! sve                                                      
c2h5ooh            2   362.6       4.53      0.000     0.000     1.000 ! same as c2h5ohapc                                        
ch3coooh           2   436.000     3.970     0.000     0.000     2.000 ! wjp                                                      
c3h8               2   266.800     4.982     0.000     0.000     1.000 ! (gri)                                                    
c4h8y              2   357.000     5.176     0.000     0.000     1.000 ! (gri)                                                    
c4h10              2   531.4       4.687     0.0       0.0       1.000 !                                                          
c2h5cho            2   435.2       4.662     2.7       0.0       1.0   ! wjp                                                      
c3h7oh             2   444.197     5.063     0.000     0.000     0.000 ! same as c3h8coapc                                        
c2h6co             2   403.6       4.968     2.0       0.0       1.0   ! wjp - acetone c3h6o or (ch3)2co                          
ch3coch3           2   403.6       4.968     2.0       0.0       1.0   ! wjp - acetone c3h6o or (ch3)2co                          
c3h8co             2   444.197     5.063     0.000     0.000     0.000 ! flamemaster - butanone ou iso-butanone?                  
c2h3cho           2   428.8       4.958     2.9       0.0       1.0   ! wjp: tcpc acrolein, poling, 4th ed. (curran)              
                                                                                                                                  
! Free radicals :                                                                                                                 
! C0-C2 reaction base :                                                                                                           
R1H                0   145.000     2.050     0.000     0.000     0.000 ! (curran and GRI)                                         
R2OH               1    80.000     2.750     0.000     0.000     0.000 ! (GRI)                                                    
R3OOH              2   107.400     3.458     0.000     0.000     1.000 ! (GRI)                                                    
R4CH3              1   144.000     3.800     0.000     0.000     0.000 ! (GRI)                                                    
R5CHO              2   498.000     3.590     0.000     0.000     0.000 ! (GRI)                                                    
R6CH2OH            2   417.000     3.690     1.700     0.000     2.000 ! (GRI)                                                    
R7CH3O             2   417.000     3.690     1.700     0.000     2.000 ! (GRI)                                                    
R8CH3OO            2   481.800     3.626     0.000     0.000     1.000 ! wjp                                                      
R9C2HT             1   209.000     4.100     0.000     0.000     2.500 ! (GRI)                                                    
R10C2H3V           2   209.000     4.100     0.000     0.000     1.000 ! (GRI)                                                    
R11C2H5            2   252.300     4.302     0.000     0.000     1.500 ! (GRI)                                                    
R12CHCOV           2   150.000     2.500     0.000     0.000     1.000 ! HCCO (GRI)                                               
R13CH2CHO          2   436.000     3.970     0.000     0.000     2.000 ! (GRI)                                                    
R14CH3CO           2   436.000     3.970     0.000     0.000     2.000 ! (GRI)                                                    
R15C2H5O           2   470.600     4.410     0.000     0.000     1.500 ! nmm                                                      
