!TRANSPORT: 1-/2-/3-pentanol
!Experimental and kinetic modeling study of the low- temperature and high-pressure combustion chemistry of straight chain pentanol isomers: 1-, 2- and 3-Pentanol
!Tanusree Chatterjee, Chiara Saggese, Shijun Dong, Vaibhav Patel, Katherine S. Lockwood, Henry J. Curran, Nicole J. Labbe, Scott W. Wagnon, William J. Pitz
!Submitted to Proc. Combust. Inst.
!DATE(mm/dd/yyyy):07/15/2022
!VERSION: PROCI_07152022

!THIS WORK WAS PERFORMED UNDER THE AUSPICES OF THE U.S. DEPARTMENT OF ENERGY BY
!LAWRENCE LIVERMORE NATIONAL LABORATORY UNDER CONTRACT DE-AC52-07NA27344.

!THIS DOCUMENT WAS PREPARED AS AN ACCOUNT OF WORK SPONSORED BY AN AGENCY OF THE 
!UNITED STATES GOVERNMENT. NEITHER THE UNITED STATES GOVERNMENT NOR LAWRENCE 
!LIVERMORE NATIONAL SECURITY, LLC, NOR ANY OF THEIR EMPLOYEES MAKES ANY 
!WARRANTY, EXPRESSED OR IMPLIED, OR ASSUMES ANY LEGAL LIABILITY OR 
!RESPONSIBILITY FOR THE ACCURACY, COMPLETENESS, OR USEFULNESS OF ANY 
!INFORMATION, APPARATUS, PRODUCT, OR PROCESS DISCLOSED, OR REPRESENTS THAT ITS 
!USE WOULD NOT INFRINGE PRIVATELY OWNED RIGHTS. REFERENCE HEREIN TO ANY SPECIFIC
!COMMERCIAL PRODUCT, PROCESS, OR SERVICE BY TRADE NAME, TRADEMARK, MANUFACTURER,
!OR OTHERWISE DOES NOT NECESSARILY CONSTITUTE OR IMPLY ITS ENDORSEMENT, 
!RECOMMENDATION, OR FAVORING BY THE UNITED STATES GOVERNMENT OR LAWRENCE 
!LIVERMORE NATIONAL SECURITY, LLC. THE VIEWS AND OPINIONS OF AUTHORS EXPRESSED 
!HEREIN DO NOT NECESSARILY STATE OR REFLECT THOSE OF THE UNITED STATES 
!GOVERNMENT OR LAWRENCE LIVERMORE NATIONAL SECURITY, LLC, AND SHALL NOT BE USED 
!FOR ADVERTISING OR PRODUCT ENDORSEMENT PURPOSES.



!ESTIMATES BY WAGNON1@LLNL.GOV GENERALLY ADOPT THE FOLLOWING APPROACHES
!FORMATTED ACCORDING TO THE CHEMKIN INPUT MANUAL
!COLUMN 1: MODEL NAME
!SEE SPECIES DICTIONARY FOR INCHI AND SMILES
!COLUMN 2: INDEX WHERE 0=ATOMIC; 1=LINEAR; 2=NONLINEAR
!FOR BATCH ESTIMATES NONLINEARITY ASSUMED
!COLUMN 3: LENNARD-JONES POTENTIAL WELL DEPTH [KELVIN]
!FOR ESTIMATES SEE EQ.3 DOOLEY COMBUST.FLAME 159 (2012) 1371-1384
!COLUMN 4: LENNARD-JONES COLLISION DIAMETER [ANGSTROM]
!FOR ESTIMATES SEE EQ.2 DOOLEY COMBUST.FLAME 159 (2012) 1371-1384
!COLUMN 5: DIPOLE MOMENT [DEBYE]
!FOR BATCH ESTIMATES ASSUMED ZERO
!COLUMN 6: POLARIZABILITY [CUBIC ANGSTOMS]
!FOR ESTIMATES SEE BOSQUE J.CHEM.INF.COMPUT.SCI. 42 (2002) 1154-1163
!COLUMN 7: ROTATIONAL RELAXATION COLLISION NUMBER AT 298K
!FOR BATCH ESTIMATES ASSUMED ONE



C2                  1        97.530     3.621     0.000     1.760     4.000 !SEE GLARBORG PECS 67 (2018) 31-68
C2O                 1       232.400     3.828     0.000     0.000     1.000 ! * !SEE GLARBORG PECS 67 (2018) 31-68
NCNOH               2       232.400     3.828     0.000     0.000     1.000 ! EST AS NCNO !SEE GLARBORG PECS 67 (2018) 31-68
HON                 2       116.700     3.492     0.000     0.000     1.000 ! = HNO !SEE GLARBORG PECS 67 (2018) 31-68
HNO2                2       350.000     3.950     1.639     0.000     1.000 ! = HONO !SEE GLARBORG PECS 67 (2018) 31-68
HONO2               2       400.000     4.200     0.200     0.000     1.000 ! = NO3 !SEE GLARBORG PECS 67 (2018) 31-68
H2NN                2        71.400     3.798     0.000     0.000     1.000 ! = N2H2 !SEE GLARBORG PECS 67 (2018) 31-68
NH2OH               2       116.700     3.492     0.000     0.000     1.000 ! = NHOH !SEE GLARBORG PECS 67 (2018) 31-68
HNC                 1       569.000     3.630     0.000     0.000     1.000 ! = HCN !SEE GLARBORG PECS 67 (2018) 31-68
HCNH                1       569.000     3.630     0.000     0.000     1.000 ! = H2CN !SEE GLARBORG PECS 67 (2018) 31-68
CH3NO               2       436.000     3.970     0.000     0.000     2.000 ! = CH3CO !SEE GLARBORG PECS 67 (2018) 31-68
CH3NH2              2       481.800     3.626     0.000     0.000     1.000 ! = CH3OH !SEE GLARBORG PECS 67 (2018) 31-68
CH3NH               2       481.800     3.626     0.000     0.000     1.000 ! = CH3OH !SEE GLARBORG PECS 67 (2018) 31-68
CH2NH2              2       481.800     3.626     0.000     0.000     1.000 ! = CH3OH !SEE GLARBORG PECS 67 (2018) 31-68
CH2NH               2       417.000     3.690     1.700     0.000     2.000 ! = CH2OH !SEE GLARBORG PECS 67 (2018) 31-68
N2                  1        97.530     3.621     0.000     1.760     4.000 !SEE GLARBORG PECS 67 (2018) 31-68
HONO                2       350.000     3.950     1.639     0.000     1.000 ! CJP !SEE GLARBORG PECS 67 (2018) 31-68
NO                  1       139.320     3.339     0.200     1.760     4.000 ! CJP !SEE GLARBORG PECS 67 (2018) 31-68
HNO                 2       170.000     3.430     1.620     0.000     1.000 ! CJP !SEE GLARBORG PECS 67 (2018) 31-68
NO2                 2       333.590     3.852     0.400     0.000     1.000 ! CJP !SEE GLARBORG PECS 67 (2018) 31-68
NO3                 2       400.000     4.200     0.200     0.000     1.000 ! CJP !SEE GLARBORG PECS 67 (2018) 31-68
N2O                 1       232.400     3.828     0.000     0.000     1.000 ! * !SEE GLARBORG PECS 67 (2018) 31-68
H2NO                2       116.700     3.492     0.000     0.000     1.000 ! JAM !SEE GLARBORG PECS 67 (2018) 31-68
HNOH                2       116.700     3.492     0.000     0.000     1.000 ! JAM !SEE GLARBORG PECS 67 (2018) 31-68
CH2CN               2       422.220     5.329     3.500     0.000     1.000 ! CJP !SEE GLARBORG PECS 67 (2018) 31-68
CH3CN               2       422.220     5.329     3.500     0.000     1.000 ! CJP !SEE GLARBORG PECS 67 (2018) 31-68
NCN                 1       422.220     5.329     2.000     0.000     1.000 ! CJP !SEE GLARBORG PECS 67 (2018) 31-68
HNCN                1       422.220     5.329     2.000     0.000     1.000 ! NCN !SEE GLARBORG PECS 67 (2018) 31-68
