! Supplementary Material
! Trandat:Mechanism for 1-, 2-, and 3-pentanol
! Manuscript: 1-, 2-, and 3-pentanol combustion in laminar hydrogen flames - a comparative experimental and modeling study.
! Markus Köhler, Trupti Kathrotia, Patrick Oßwald, Marileen L. Fischer-Tammer, Kai Moshammer, Uwe Riedel

Ar                 0   136.500     3.330     0.000     0.000     0.000 !CHEMKIN-v4.1.1
He                 0    10.200     2.576     0.000     0.000     0.000 !CHEMKIN-v4.1.1
N2                 1    97.530     3.621     0.000     1.760     4.000 !CHEMKIN-v4.1.1
PeOH-1(1)          2   295.290     6.320     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 567.616K Pc=  38.771bar Vc= 334.500cm3/mol Tb= 405.980K	(CsH2R2, CsH2R2, CsH2R2, CsH2R2, CsH3R, Alcohol)
PeOH-2(2)          2   303.884     6.281     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  39.160bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsHR3, CsH2R2, CsH2R2, CsH3R, Alcohol)
PeOH-3(3)          2   303.884     6.281     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  39.160bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsH2R2, CsHR3, CsH2R2, CsH3R, Alcohol)
H2(4)              1    38.000     2.920     0.000     0.790   280.000 ! Primary Transport Library: USCII (Species ID: H2)	
O2(5)              1   107.400     3.458     0.000     1.600     3.800 ! Primary Transport Library: USCII (Species ID: O2)	
H(6)               0   145.000     2.050     0.000     0.000     0.000 ! Primary Transport Library: USCII (Species ID: H)	
O(7)               0    80.000     2.750     0.000     0.000     0.000 ! Primary Transport Library: USCII (Species ID: O)	
OH(8)              1    80.000     2.750     0.000     0.000     0.000 ! Primary Transport Library: USCII (Species ID: OH)	
H2O(9)             2   572.400     2.605     1.844     0.000     4.000 ! Primary Transport Library: USCII (Species ID: H2O)	
HO2(10)            2   107.400     3.458     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: HO2)	 //! *
H2O2(11)           2   107.400     3.458     0.000     0.000     3.800 ! Primary Transport Library: USCII (Species ID: H2O2)	
CO(12)             1    98.100     3.650     0.000     1.950     1.800 ! Primary Transport Library: USCII (Species ID: CO)	
CO2(13)            1   244.000     3.763     0.000     2.650     2.100 ! Primary Transport Library: USCII (Species ID: CO2)	
C(14)              0    71.400     3.298     0.000     0.000     0.000 ! Primary Transport Library: USCII (Species ID: C)	 //! *
CH(15)             1    80.000     2.750     0.000     0.000     0.000 ! Primary Transport Library: USCII (Species ID: CH)	
CH2(16)            1   144.000     3.800     0.000     0.000     0.000 ! Primary Transport Library: USCII (Species ID: CH2)	
CH2*(17)           1   144.000     3.800     0.000     0.000     0.000 ! Primary Transport Library: USCII (Species ID: CH2*)	
CH3(18)            1   144.000     3.800     0.000     0.000     0.000 ! Primary Transport Library: USCII (Species ID: CH3)	
CH4(19)            2   141.400     3.746     0.000     2.600    13.000 ! Primary Transport Library: USCII (Species ID: CH4)	
HCO(20)            2   498.000     3.590     0.000     0.000     0.000 ! Primary Transport Library: USCII (Species ID: HCO)	
CH2O(21)           2   498.000     3.590     0.000     0.000     2.000 ! Primary Transport Library: USCII (Species ID: CH2O)	
CH3O(22)           2   417.000     3.690     1.700     0.000     2.000 ! Primary Transport Library: USCII (Species ID: CH3O)	
