!L. Ruwe et al., The C5 chemistry preceding the formation of polycyclic aromatic hydrocarbons in a premixed 1-pentene flame
!Submitted to Combustion and Flame 
#SpecName               Dummy       eps/k       sigma    Dummy    Dummy    Dummy
AR                 0   136.500     3.330     0.000     0.000     0.000          
N2                 1    97.530     3.621     0.000     1.760     4.000          
HE                 0    10.200     2.576     0.000     0.000     0.000
H                  0   145.000     2.050     0.000     0.000     0.000          
H2                 1    38.000     2.920     0.000     0.790   280.000          
H2O                2   572.400     2.605     1.844     0.000     4.000          
H2O2               2   107.400     3.458     0.000     0.000     3.800          
HO2                2   107.400     3.458     0.000     0.000     1.000
O                  0    80.000     2.750     0.000     0.000     0.000          
O2                 1   107.400     3.458     0.000     1.600     3.800          
OH                 1    80.000     2.750     0.000     0.000     0.000          

CO                 1    98.100     3.650     0.000     1.950     1.800          
CO2                1   244.000     3.763     0.000     2.650     2.100          
HCO                2   498.000     3.590     0.000     0.000     0.000          
                                                                                
C                  0    71.400     3.298     0.000     0.000     0.000
CH                 1    80.000     2.750     0.000     0.000     0.000          
TXCH2              1   144.000     3.800     0.000     0.000     0.000          
SXCH2              1   144.000     3.800     0.000     0.000     0.000          
CH3                1   144.000     3.800     0.000     0.000     0.000          
CH4                2   141.400     3.746     0.000     2.600    13.000          
CH2O               2   498.000     3.590     0.000     0.000     2.000          
CH2OH              2   417.000     3.690     1.700     0.000     2.000          
CH3O               2   417.000     3.690     1.700     0.000     2.000          
CH3OH              2   481.800     3.626     0.000     0.000     1.000
                                                                                
C2                 1    97.530     3.621     0.000     1.760     4.000          
C2O                1   232.400     3.828     0.000     0.000     1.000
C2H                1   209.000     4.100     0.000     0.000     2.500          
C2H2               1   209.000     4.100     0.000     0.000     2.500          
H2C2               2   209.000     4.100     0.000     0.000     2.500
C2H3               2   209.000     4.100     0.000     0.000     1.000
C2H4               2   280.800     3.971     0.000     0.000     1.500          
C2H5               2   252.300     4.302     0.000     0.000     1.500          
C2H6               2   252.300     4.302     0.000     0.000     1.500          
HCCO               2   150.000     2.500     0.000     0.000     1.000
HCCOH              2   436.000     3.970     0.000     0.000     2.000          
CH2CO              2   436.000     3.970     0.000     0.000     2.000          
CH2CHO             2   436.000     3.970     0.000     0.000     2.000          
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
                                                                                
C3H2               2   209.000     4.100     0.000     0.000     1.000
C3H2O              2   252.000     4.760     0.000     0.000     1.000
C3H3               2   252.000     4.760     0.000     0.000     1.000
AXC3H4             2   252.000     4.760     0.000     0.000     1.000
PXC3H4             2   252.000     4.760     0.000     0.000     1.000
AXC3H5             2   266.800     4.982     0.000     0.000     1.000
SXC3H5             2   266.800     4.982     0.000     0.000     1.000
TXC3H5             2   266.800     4.982     0.000     0.000     1.000
C3H6               2   266.800     4.982     0.000     0.000     1.000
NXC3H7             2   266.800     4.982     0.000     0.000     1.000
C3H8               2   266.800     4.982     0.000     0.000     1.000
                                                                                
C4H                2   357.000     5.180     0.000     0.000     1.000
C4H2               1   357.000     5.180     0.000     0.000     1.000          
IXC4H3             2   357.000     5.180     0.000     0.000     1.000
NXC4H3             2   357.000     5.180     0.000     0.000     1.000
C4H4               2   357.000     5.180     0.000     0.000     1.000
IXC4H5             2   357.000     5.180     0.000     0.000     1.000
NXC4H5             2   357.000     5.180     0.000     0.000     1.000
C4H6               2   357.000     5.180     0.000     0.000     1.000

!C6H2               1   357.000     5.180     0.000     0.000     1.000


CH3CHCHO           2   387.860     4.687     0.000     0.000     0.000




OCHO                        2     481.800       3.626    0.000    0.000    0.000
HOCHO                       2     481.800       3.626    0.000    0.000    0.000
HOCH2O                      2     481.800       3.626    0.000    0.000    0.000
CH3O2                       2     481.800       3.626    0.000    0.000    0.000
CH3O2H                      2     481.800       3.626    0.000    0.000    0.000
O2CHO                       2     403.204       4.792    0.000    0.000    0.000
HO2CHO                      2     407.054       4.818    0.000    0.000    0.000


C2H3O1-2                    2     329.328       4.271    0.000    0.000    0.000

C2H5O                       2     470.600       4.410    0.000    0.000    0.000
C2H4OH                      2     470.600       4.410    0.000    0.000    0.000
CH3OCH2                     2     395.000       4.037    0.000    0.000    0.000
CH3CHOH                     2     470.600       4.410    0.000    0.000    0.000
CH3OCH3                     2     395.000       4.037    0.000    0.000    0.000
C2H5OH                      2     470.600       4.410    0.000    0.000    0.000
!HCCOH                      2     436.000       3.970    0.000    0.000    0.000
CH3CO2                      2     395.000       4.037    0.000    0.000    0.000
CH3OCHO                     2     395.000       4.037    0.000    0.000    0.000
CH3OCH2O                    2     395.000       4.037    0.000    0.000    0.000
C2H4O2H                     2     403.365       4.793    0.000    0.000    0.000
C2H5O2                      2     403.365       4.793    0.000    0.000    0.000
CH3OCH2OH                   2     395.000       4.037    0.000    0.000    0.000
HOCH2OCO                    2     395.000       4.037    0.000    0.000    0.000
CH3CO3                      2     454.613       5.131    0.000    0.000    0.000
OCH2OCHO                    2     395.000       4.037    0.000    0.000    0.000
CH3CO3H                     2     458.145       5.153    0.000    0.000    0.000
CH2OCH2O2H                  2     395.000       4.037    0.000    0.000    0.000
HOC2H4O2                    2     443.200       4.120    0.000    0.000    0.000
CH3OCH2O2                   2     395.000       4.037    0.000    0.000    0.000
CH3OCH2O2H                  2     395.000       4.037    0.000    0.000    0.000
